Name	\\pi01uz\0096_PIT_5001
Data Type	Float 32
Number of Values	87631
Time	Value	Value Attributes
24-May-2018 00:19:03.04701	5.554386
23-May-2018 23:49:08.03001	5.55532
23-May-2018 23:19:08.052	5.556636
23-May-2018 22:49:08.05801	5.55496
23-May-2018 22:19:08.08	5.553412
23-May-2018 21:49:08.08701	5.553267
23-May-2018 21:19:08.10901	5.550437
23-May-2018 20:49:13.06001	5.549382
23-May-2018 20:19:13.08202	5.552003
23-May-2018 19:49:13.104	5.559744
23-May-2018 19:19:18.08701	5.566586
23-May-2018 18:49:23.06401	5.561547
23-May-2018 18:19:28.03101	5.561078
23-May-2018 17:49:28.091	5.554955
23-May-2018 17:19:33.052	5.552571
23-May-2018 16:49:38.01901	5.551974
23-May-2018 16:19:38.056	5.556375
23-May-2018 15:49:38.063	5.567137
23-May-2018 15:19:38.10001	5.554456
23-May-2018 14:49:38.10701	5.550363
23-May-2018 14:19:43.05901	5.545341
23-May-2018 13:49:44.04501	5.54094
23-May-2018 13:19:44.12001	5.542941
23-May-2018 12:49:49.06601	5.546106
23-May-2018 12:19:54.033	5.545764
23-May-2018 11:49:54.05501	5.544361
23-May-2018 11:19:54.093	5.546211
23-May-2018 10:49:54.09901	5.545868
23-May-2018 10:19:54.10501	5.545567
23-May-2018 09:49:59.08801	5.544871
23-May-2018 09:19:59.11002	5.541758
23-May-2018 08:50:04.06201	5.542789
23-May-2018 08:20:04.08401	5.542714
23-May-2018 07:50:09.01401	5.544077
23-May-2018 07:20:09.10501	5.548391
23-May-2018 06:50:14.01901	5.550618
23-May-2018 06:20:14.09401	5.551221
23-May-2018 05:50:14.11601	5.553517
23-May-2018 05:20:19.06801	5.555326
23-May-2018 04:50:24.02802	5.556549
23-May-2018 04:20:24.08801	5.558057
23-May-2018 03:50:29.04901	5.560544
23-May-2018 03:20:34.03201	5.563663
23-May-2018 02:50:39.015	5.568557
23-May-2018 02:20:39.052	5.569885
23-May-2018 01:50:39.09601	5.572824
23-May-2018 01:20:44.05701	5.574356
23-May-2018 00:50:49.04001	5.578275
23-May-2018 00:20:49.11501	5.580584
22-May-2018 23:50:54.04501	5.582171
22-May-2018 23:20:54.067	5.586759
22-May-2018 22:50:59.05	5.588196
22-May-2018 22:20:59.05602	5.593039
22-May-2018 21:51:04.02301	5.595044
22-May-2018 21:21:04.09201	5.598118
22-May-2018 20:51:04.09901	5.593235
22-May-2018 20:21:09.05	5.590557
22-May-2018 19:51:09.05701	5.588874
22-May-2018 19:21:14.01801	5.593676
22-May-2018 18:51:14.04001	5.591426
22-May-2018 18:21:14.11501	5.592557
22-May-2018 17:51:19.04501	5.58837
22-May-2018 17:21:24.043	5.587727
22-May-2018 16:51:24.10301	5.586886
22-May-2018 16:21:29.07901	5.588736
22-May-2018 15:51:34.03101	5.58597
22-May-2018 15:21:34.08401	5.587054
22-May-2018 14:51:34.09001	5.585767
22-May-2018 14:21:39.089	5.580386
22-May-2018 13:51:39.11101	5.576449
22-May-2018 13:21:44.10901	5.573556
22-May-2018 12:51:49.061	5.570187
22-May-2018 12:21:49.09901	5.567299
22-May-2018 11:51:49.121	5.562864
22-May-2018 11:21:54.035	5.556758
22-May-2018 10:51:54.041	5.556566
22-May-2018 10:21:59.024	5.470021
22-May-2018 09:51:59.04601	5.477814
22-May-2018 09:21:59.052	5.495858
22-May-2018 08:51:59.05901	5.349432
22-May-2018 08:22:04.05701	5.353282
22-May-2018 07:52:09.04001	5.35635
22-May-2018 07:22:14.02301	5.361348
22-May-2018 06:52:14.02901	5.362357
22-May-2018 06:22:14.05101	5.362148
22-May-2018 05:52:14.10501	5.363441
22-May-2018 05:22:19.056	5.363963
22-May-2018 04:52:19.063	5.362873
22-May-2018 04:22:19.147	5.363366
22-May-2018 03:52:24.08301	5.353248
22-May-2018 03:22:24.121	5.351421
22-May-2018 02:52:29.00401	5.354547
22-May-2018 02:22:29.095	5.358339
22-May-2018 01:52:34.024	5.362403
22-May-2018 01:22:34.06201	5.366752
22-May-2018 00:52:39.02901	5.37095
22-May-2018 00:22:39.082	5.375357
21-May-2018 23:52:44.01801	5.380054
21-May-2018 23:22:44.02501	5.382941
21-May-2018 22:52:44.04701	5.385139
21-May-2018 22:22:49.04501	5.385631
21-May-2018 21:52:54.04401	5.386316
21-May-2018 21:22:54.06601	5.385747
21-May-2018 20:52:54.07201	5.38406
21-May-2018 20:22:54.09401	5.382854
21-May-2018 19:52:59.093	5.379735
21-May-2018 19:22:59.09901	5.380482
21-May-2018 18:52:59.106	5.382709
21-May-2018 18:23:04.05101	5.379062
21-May-2018 17:53:09.01801	5.376951
21-May-2018 17:23:09.07101	5.374743
21-May-2018 16:53:14.05402	5.384408
21-May-2018 16:23:14.061	5.39684
21-May-2018 15:53:14.11401	5.492651
21-May-2018 15:23:19.09702	5.491086
21-May-2018 14:53:19.10301	5.488691
21-May-2018 14:23:24.048	5.483728
21-May-2018 13:53:29.03101	5.482661
21-May-2018 13:23:29.10701	5.486117
21-May-2018 12:53:34.052	5.492512
21-May-2018 12:23:34.08	5.489282
21-May-2018 11:53:39.07201	5.489666
21-May-2018 11:23:39.09401	5.49275
21-May-2018 10:53:44.07701	5.49769
21-May-2018 10:23:49.02901	5.49827
